GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - 12:00 a.m. to 4:59 a.m.,Estimate; Total: - 5:00 a.m. to 5:29 a.m.,Estimate; Total: - 5:30 a.m. to 5:59 a.m.,Estimate; Total: - 6:00 a.m. to 6:29 a.m.,Estimate; Total: - 6:30 a.m. to 6:59 a.m.,Estimate; Total: - 7:00 a.m. to 7:29 a.m.,Estimate; Total: - 7:30 a.m. to 7:59 a.m.,Estimate; Total: - 8:00 a.m. to 8:29 a.m.,Estimate; Total: - 8:30 a.m. to 8:59 a.m.,Estimate; Total: - 9:00 a.m. to 9:59 a.m.,Estimate; Total: - 10:00 a.m. to 10:59 a.m.,Estimate; Total: - 11:00 a.m. to 11:59 a.m.,Estimate; Total: - 12:00 p.m. to 3:59 p.m.,Estimate; Total: - 4:00 p.m. to 11:59 p.m.
8600000US00716,00716,ZCTA5 00716,7222,317,246,315,583,587,1731,1070,507,257,506,91,144,379,489
8600000US00717,00717,ZCTA5 00717,3791,254,83,209,207,391,527,404,368,155,225,268,58,407,235
8600000US00718,00718,ZCTA5 00718,6779,795,613,278,656,575,1355,598,675,344,228,130,50,220,262
8600000US00719,00719,ZCTA5 00719,7390,738,464,307,1257,860,1508,485,434,130,303,142,113,504,145
8600000US00720,00720,ZCTA5 00720,4221,380,403,202,705,530,691,450,170,34,121,135,89,179,132
8600000US00723,00723,ZCTA5 00723,3708,332,313,312,309,376,801,294,163,85,88,44,110,312,169
8600000US00725,00725,ZCTA5 00725,25224,1407,1510,1683,3528,2755,3959,2356,2010,522,1453,995,339,1264,1443
8600000US00727,00727,ZCTA5 00727,19841,1124,999,1151,2233,2438,3663,1751,1512,1086,825,814,85,1297,863
8600000US00728,00728,ZCTA5 00728,10538,760,306,625,897,1300,2099,1298,778,326,398,220,262,667,602
8600000US00729,00729,ZCTA5 00729,14943,1472,1346,1227,1812,1640,1811,1261,712,403,534,347,350,1249,779
8600000US00730,00730,ZCTA5 00730,7601,384,155,362,396,806,1358,1276,788,222,472,166,226,692,298
8600000US00731,00731,ZCTA5 00731,4014,162,221,314,483,690,796,331,212,84,110,42,39,166,364
8600000US00735,00735,ZCTA5 00735,3527,354,126,81,158,342,559,338,647,47,170,124,65,321,195
8600000US00736,00736,ZCTA5 00736,13821,982,1005,959,1632,1645,2211,1305,1099,206,664,247,176,812,878
8600000US00738,00738,ZCTA5 00738,8948,805,431,324,928,888,1305,1163,437,402,479,268,153,686,679
8600000US00739,00739,ZCTA5 00739,10862,564,594,787,1840,1119,2246,835,480,216,418,260,233,599,671
8600000US00740,00740,ZCTA5 00740,305,14,21,12,0,53,31,0,0,0,0,40,0,57,77
8600000US00741,00741,ZCTA5 00741,1264,104,76,81,96,118,176,120,64,45,34,17,6,181,146
8600000US00745,00745,ZCTA5 00745,16070,1432,1011,1582,1908,1926,1911,1323,921,427,556,436,473,1035,1129
8600000US00751,00751,ZCTA5 00751,5669,440,427,341,828,699,957,458,348,117,175,125,222,403,129
8600000US00754,00754,ZCTA5 00754,10923,710,1011,874,1659,1059,1721,666,915,126,511,108,180,867,516
8600000US00757,00757,ZCTA5 00757,6844,752,398,549,804,726,1023,685,359,113,189,101,35,823,287
8600000US00765,00765,ZCTA5 00765,2831,112,429,278,6,291,395,277,88,50,254,0,122,69,460
8600000US00766,00766,ZCTA5 00766,6351,645,503,527,781,700,714,625,551,87,177,89,163,539,250
8600000US00767,00767,ZCTA5 00767,7368,563,513,671,536,854,1376,750,474,117,286,47,72,617,492
8600000US00769,00769,ZCTA5 00769,10834,1075,891,772,1370,1633,1555,966,575,146,264,181,308,586,512
8600000US00771,00771,ZCTA5 00771,9397,834,659,969,802,846,1843,752,278,238,399,248,112,717,700
8600000US00772,00772,ZCTA5 00772,4985,440,496,526,711,475,384,581,89,82,127,112,173,461,328
8600000US00773,00773,ZCTA5 00773,5193,310,198,355,412,592,807,549,367,106,276,220,135,552,314
8600000US00775,00775,ZCTA5 00775,649,21,4,46,25,109,142,69,94,20,52,18,0,30,19
8600000US00777,00777,ZCTA5 00777,11032,749,1015,890,852,1420,1315,1108,578,511,358,420,140,629,1047
8600000US00778,00778,ZCTA5 00778,16614,1290,972,1704,2540,1734,2807,1524,1196,383,1058,348,39,616,403
8600000US00780,00780,ZCTA5 00780,3810,273,79,214,273,459,875,474,305,0,238,55,83,328,154
8600000US00782,00782,ZCTA5 00782,3996,321,258,234,788,356,498,317,250,43,88,212,82,347,202
8600000US00783,00783,ZCTA5 00783,7034,784,398,617,872,623,1673,454,691,149,255,88,73,114,243
8600000US00784,00784,ZCTA5 00784,9145,603,386,467,927,1071,1890,1471,564,228,351,152,184,526,325
